저장소,총 릴리즈 수,평균 릴리즈 주기(근무일 기준),프리릴리즈 비율(%),주말 릴리즈 비율(%),어제 릴리즈 수,지난주 릴리즈 수,지난달 릴리즈 수,지난해 릴리즈 수,최근 릴리즈 날짜,첫 릴리즈 날짜,릴리즈 기간(일),근무일 수,평일 릴리즈 수,주말 릴리즈 수
daangn/seed-design,329,2.88,7.6,0.61,0,10,76,275,2025-06-02T10:02:10.000Z,2021-10-15T11:46:42.000Z,1325,946,327,2
daangn/stackflow,159,2.45,0,1.26,0,0,5,110,2025-05-29T08:08:59.000Z,2023-12-01T04:16:25.000Z,545,389,157,2
